school_urn,school_laestab,school_name,la_code,la_name,disadvantaged_pupils,disadvantaged_good_pass_pct,non_disadvantaged_good_pass_pct,all_pupils_good_pass_pct,gap_pp
147260,8884405,Lancaster High School,E10000017,Lancashire,39,7.7,37.5,24.7,29.8
136742,8885401,Lancaster Royal Grammar School,E10000017,Lancashire,7,100,98.8,,-1.2
144693,8827005,Lancaster School,E06000033,Southend-on-Sea,15,,,,
105608,3527029,Lancasterian School,E08000003,Manchester,20,,,,
126108,9386013,Lancing College,E10000032,West Sussex,z,,,,
136136,8606905,"Landau Forte Academy, Amington",E10000028,Staffordshire,57,17.5,37.5,31.4,20.0
137146,8604004,"Landau Forte Academy, QEMS",E10000028,Staffordshire,41,12.2,50.5,40.3,38.3
135120,8316905,Landau Forte College,E06000015,Derby,70,47.1,75.2,65.3,28.1
134297,3597001,"Landgate School, Bryn",E08000010,Wigan,5,,,,
142776,8736054,Landmark International School,E10000003,Cambridgeshire,z,,,,
140373,3164005,Langdon Academy,E09000025,Newham,174,51.1,65.8,58.8,14.7
100966,2114105,Langdon Park Community School,E09000030,Tower Hamlets,112,42.9,51.5,47,8.6
141512,8817000,Langham Oaks,E10000012,Essex,11,,,,
136521,8715405,Langley Grammar School,E06000039,Slough,10,90,98.8,98.3,8.8
136586,3055402,Langley Park School for Boys,E09000006,Bromley,22,22.7,63.9,,41.2
137006,3055412,Langley Park School for Girls,E09000006,Bromley,24,54.2,70.1,,15.9
137007,3344012,Langley School,E08000029,Solihull,51,29.4,51.9,46.4,22.5
121224,9266005,Langley School,E10000020,Norfolk,z,,,,
133740,8397016,Langside School,E06000058,"Bournemouth, Christchurch and Poole",z,,,,
137976,9314094,Langtree School,E10000025,Oxfordshire,13,46.2,73.8,72.1,27.6
100654,2087001,Lansdowne School,E09000022,Lambeth,15,,,0,
132848,3206501,Lantern of Knowledge Secondary School,E09000031,Waltham Forest,z,,,,
143890,9314125,Larkmead School,E10000025,Oxfordshire,28,14.3,39.7,35.8,25.4
119774,8884411,Lathom High School : A Technology College,E10000017,Lancashire,68,20.6,41.7,32.1,21.1
100370,2056306,Latymer Upper School and Latymer Prep,E09000013,Hammersmith and Fulham,z,,,,
139155,9084009,Launceston College,E06000052,Cornwall,53,26.4,62.9,55.2,36.5
146440,9194033,Laureate Academy,E10000015,Hertfordshire,53,24.5,48.2,40.8,23.7
102056,3085401,Laurel Park School,E09000010,Enfield,51,11.8,42.9,31.1,31.1
147724,8074014,Laurence Jackson School,E06000003,Redcar and Cleveland,49,26.5,53.5,47.7,27.0
145893,3564005,Laurus Cheadle Hulme,E08000007,Stockport,48,37.5,66.5,60.8,29.0
145894,3574002,Laurus Ryecroft,E08000008,Tameside,70,37.1,57.2,49.8,20.1
147896,8956016,Lavender Field School,E06000049,Cheshire East,z,,,,
136389,8655402,Lavington School,E06000054,Wiltshire,30,26.7,64.1,,37.4
144773,8664002,Lawn Manor Academy,E06000030,Swindon,61,14.8,40.7,31.3,25.9
108055,3834006,Lawnswood School,E08000035,Leeds,110,19.1,55.6,40.4,36.5
136752,3406001,Lawrence House School,E08000011,Knowsley,z,,,,
141277,9374620,Lawrence Sheriff School,E10000031,Warwickshire,14,92.9,96.3,,3.4
138385,8394000,LeAF Studio,E06000058,"Bournemouth, Christchurch and Poole",17,11.8,36.1,31,24.3
149208,8214002,Lea Manor High School,E06000032,Luton,90,26.7,31.3,30,4.6
109686,8214111,Lealands High School,E06000032,Luton,59,30.5,35.1,35.2,4.6
129571,3426089,Learn 4 Life School,E08000013,St. Helens,z,,,,
119013,8866063,Learning Opportunities Centre Secondary,E10000016,Kent,z,,,,
147462,8126008,Learning4Life-GY,E06000012,North East Lincolnshire,z,,,,
143582,3324110,Leasowes High School,E08000027,Dudley,66,21.2,43.1,36.8,21.9
137808,2046003,Leaways School,E09000012,Hackney,z,,,,
139646,3834061,Leeds City Academy,E08000035,Leeds,115,25.2,43.4,37.7,18.2
136826,3834000,Leeds East Academy,E08000035,Leeds,138,17.4,28.4,22,11.0
139773,3834066,Leeds Jewish Free School,E08000035,Leeds,5,,,57.7,
135935,3836906,Leeds West Academy,E08000035,Leeds,101,20.8,48.1,37.9,27.3
126528,8656026,Leehurst Swan School,E06000054,Wiltshire,z,,,,
142711,8604085,Leek High School,E10000028,Staffordshire,17,11.8,30.4,25,18.6
143934,8314006,Lees Brook Academy,E06000015,Derby,67,11.9,43,33.3,31.1
120334,8556018,Leicester Grammar School Trust,E10000018,Leicestershire,z,,,,
120324,8566009,Leicester High School for Girls,E06000016,Leicester,z,,,,
149898,3034006,Leigh Academy Bexley,E09000004,Bexley,77,15.6,37,26.5,21.4
145895,2034008,Leigh Academy Blackheath,E09000011,Greenwich,38,34.2,67.6,63.5,33.4
145315,2034007,Leigh Academy Halley,E09000011,Greenwich,39,41,45.6,43.2,4.6
150743,8864036,Leigh Academy Hugh Christie,E10000016,Kent,44,25,32.3,29.3,7.3
137883,8867066,Leigh Academy Milestone,E10000016,Kent,11,0,0,0,0.0
150935,8864038,Leigh Academy Minster,E10000016,Kent,105,4.8,9.8,,5.0
148577,8874004,Leigh Academy Rainham,E06000035,Medway,0,,,,
136349,8865455,Leigh Academy Tonbridge,E10000016,Kent,23,17.4,36,,18.6
141309,2034271,Leigh Stationers' Academy,E09000011,Greenwich,46,37,66.8,61.5,29.8
110110,8706001,Leighton Park School,E06000038,Reading,z,,,,
141196,3524005,Levenshulme High School,E08000003,Manchester,108,44.4,61.6,,17.2
137156,9195416,Leventhorpe,E10000015,Hertfordshire,23,13,50.7,47.8,37.7
142766,3507006,Lever Park School,E08000001,Bolton,14,0,0,0,0.0
114634,8456032,Lewes Old Grammar School,E10000011,East Sussex,z,,,,
113920,8386025,Leweston School,E06000059,Dorset,z,,,,
134438,8556020,Lewis Charlton Learning Centre,E10000018,Leicestershire,z,,,,
151484,8817009,Lexden Springs School,E10000012,Essex,z,,,,
115475,8817069,Lexden Springs School,E10000012,Essex,7,,,,
103101,3204069,Leytonstone School,E09000031,Waltham Forest,47,40.4,52.9,50.2,12.5
135598,8106905,Liberty Academy,E06000010,"Kingston upon Hull, City of",96,9.4,20.2,15.1,10.8
147455,3156029,Liberty Woodland School,E09000024,Merton,z,,,,
124474,8606012,Lichfield Cathedral School,E10000028,Staffordshire,z,,,,
150542,8106008,Life Skills Hub Central,E06000010,"Kingston upon Hull, City of",z,,,,
148860,8866168,Life Skills Manor,E10000016,Kent,z,,,,
137231,3344018,Light Hall School,E08000029,Solihull,62,37.1,66.1,57.6,29.0
137036,3815404,Lightcliffe Academy,E08000033,Calderdale,36,13.9,28.1,26.2,14.2
138380,3837004,Lighthouse School Leeds,E08000035,Leeds,2,,,12.5,
100625,2084321,Lilian Baylis Technology School,E09000022,Lambeth,68,30.9,57.4,42.9,26.5
142050,3117004,Lime Academy Forest Approach,E09000016,Havering,6,,,,
151866,8217001,Lime Academy Hartwell,E06000032,Luton,z,,,,
138454,3207002,Lime Academy Hornbeam,E09000031,Waltham Forest,14,,,,
147944,8747001,Lime Academy Orton,E06000031,Peterborough,3,,,,
142722,3117003,Lime Academy Ravensbourne,E09000016,Havering,c,,,,
149149,8027000,Lime Hills Academy,E06000024,North Somerset,4,,,,
112442,9426001,Lime House School,E06000063,Cumberland,z,,,,
137367,8554014,Limehurst Academy,E10000018,Leicestershire,43,32.6,64,55.2,31.4
116614,8507026,Limington House School,E10000014,Hampshire,1,,,,
125459,9367019,Limpsfield Grange School,E10000030,Surrey,4,,,,
150482,9254064,Lincoln Castle Academy,E10000019,Lincolnshire,39,28.2,50,46.1,21.8
137447,9255408,Lincoln Christ's Hospital School,E10000019,Lincolnshire,51,11.8,39,32.6,27.2
143858,8886067,Lincoln House School,E10000017,Lancashire,z,,,,
120724,9256012,Lincoln Minster School,E10000019,Lincolnshire,z,,,,
140950,9254008,Lincoln UTC,E10000019,Lincolnshire,28,46.4,58.4,56.5,12.0
136471,8225404,Lincroft Academy,E06000055,Bedford,33,21.2,53.8,50.8,32.6
144233,9367060,Linden Bridge School,E10000030,Surrey,3,,,,
145709,2127067,Linden Lodge School,E09000032,Wandsworth,7,0,0,0,0.0
103632,3307062,Lindsworth School,E08000025,Birmingham,21,,,,
125387,9366255,Lingfield College,E10000030,Surrey,z,,,,
145242,8886075,Linton School,E10000017,Lancashire,z,,,,
136442,8735416,Linton Village College,E10000003,Cambridgeshire,27,14.8,64.2,56.9,49.4
